,source_taxon_name,interaction_type,target_taxon_name
33,Apis mellifera,pollinates,Desmoscelis villosa
34,Apis mellifera,pollinates,Hyptis conferta
35,Apis mellifera,pollinates,Syngonanthus caulescens
36,Apis mellifera,pollinates,Xyris savanensis
37,Apis mellifera,pollinates,Mimosa camporum
38,Apis mellifera,pollinates,Schultesia brachyptera
39,Apis mellifera,pollinates,Spermacoce multiflora
40,Apis mellifera,pollinates,Grindelia chiloensis
41,Apis mellifera,pollinates,Tiarella cordifolia
42,Apis mellifera,pollinates,Cedronella canariensis
43,Apis mellifera,pollinates,Andryala pinnatifida
44,Apis mellifera,pollinates,Sonchus tenerrimus
45,Apis mellifera,pollinates,Azorina vidalii
46,Apis mellifera,pollinates,Halimium halimifolium
47,Apis mellifera,pollinates,Halimium
48,Apis mellifera,pollinates,Ulex genistoides
49,Apis mellifera,pollinates,Scandix australis
50,Apis mellifera,pollinates,Cistus parviflorus
51,Apis mellifera,pollinates,Convolvulus althaeoides
52,Apis mellifera,pollinates,Phagnalon rupestre graecum
53,Apis mellifera,pollinates,Alkanna tinctoria
54,Apis mellifera,pollinates,Muscari comosum
55,Apis mellifera,pollinates,Prasium majus
56,Apis mellifera,pollinates,Plantago lagopus
57,Apis mellifera,pollinates,Reichardia picroides
58,Apis mellifera,pollinates,Fumana
59,Apis mellifera,pollinates,Malcolmia chia
60,Apis mellifera,pollinates,Petrorhagia dubia
61,Apis mellifera,pollinates,Tremastelma
62,Apis mellifera,pollinates,Lathyrus cicera
63,Apis mellifera,pollinates,Pterocephalus papposus
64,Apis mellifera,pollinates,Thymelaea tartonraira
65,Apis mellifera,pollinates,Hymenocarpos circinnatus
66,Apis mellifera,pollinates,Sarcopoterium spinosum
67,Apis mellifera,pollinates,Xysmalobium gerrardii
68,Apis mellifera,pollinates,Sisyranthus trichostomus
69,Apis mellifera,pollinates,Aspidonepsis diploglossa
70,Apis mellifera,pollinates,Rabdosia
71,Apis mellifera,pollinates,Polygonum thunbergii
72,Apis mellifera,pollinates,Polyscias maraisiana
73,Apis mellifera,pollinates,Pemphis acidula
74,Apis mellifera,pollinates,Ipomoea violacea
75,Apis mellifera,pollinates,Opulaster opulifolius
76,Apis mellifera,pollinates,Asclepias hallii
77,Apis mellifera,pollinates,Thalictrum fendleri
